year_month,uf,product,unit,volume,created_at
2000-1,MS,ÓLEO COMBUSTÍVEL ,m3,3628.52,2022-03-17
2000-1,RS,ÓLEO COMBUSTÍVEL ,m3,37685.09,2022-03-17
2000-1,SC,ÓLEO COMBUSTÍVEL ,m3,20637.06,2022-03-17
2000-1,PR,ÓLEO COMBUSTÍVEL ,m3,36761.96,2022-03-17
2000-1,SP,ÓLEO COMBUSTÍVEL ,m3,303054.87,2022-03-17
2000-1,RJ,ÓLEO COMBUSTÍVEL ,m3,91780.26,2022-03-17
2000-1,ES,ÓLEO COMBUSTÍVEL ,m3,46704.4,2022-03-17
2000-1,MG,ÓLEO COMBUSTÍVEL ,m3,111463.96,2022-03-17
2000-1,BA,ÓLEO COMBUSTÍVEL ,m3,46102.85,2022-03-17
2000-1,SE,ÓLEO COMBUSTÍVEL ,m3,5806.99,2022-03-17
2000-1,AL,ÓLEO COMBUSTÍVEL ,m3,525.23,2022-03-17
2000-1,PE,ÓLEO COMBUSTÍVEL ,m3,11041.98,2022-03-17
2000-1,PB,ÓLEO COMBUSTÍVEL ,m3,4406.14,2022-03-17
2000-1,RN,ÓLEO COMBUSTÍVEL ,m3,2185.85,2022-03-17
2000-1,CE,ÓLEO COMBUSTÍVEL ,m3,2797.93,2022-03-17
2000-1,PI,ÓLEO COMBUSTÍVEL ,m3,392.93,2022-03-17
2000-1,MA,ÓLEO COMBUSTÍVEL ,m3,10830.65,2022-03-17
2000-1,TO,ÓLEO COMBUSTÍVEL ,m3,127.55,2022-03-17
2000-1,AP,ÓLEO COMBUSTÍVEL ,m3,0.0,2022-03-17
2000-1,PA,ÓLEO COMBUSTÍVEL ,m3,50888.66,2022-03-17
2000-1,RR,ÓLEO COMBUSTÍVEL ,m3,0.0,2022-03-17
2000-1,AM,ÓLEO COMBUSTÍVEL ,m3,29063.21,2022-03-17
2000-1,AC,ÓLEO COMBUSTÍVEL ,m3,0.0,2022-03-17
2000-1,RO,ÓLEO COMBUSTÍVEL ,m3,25.55,2022-03-17
2000-1,DF,ÓLEO DIESEL ,m3,23310.9,2022-03-17
2000-1,GO,ÓLEO DIESEL ,m3,87944.95,2022-03-17
2000-1,MT,ÓLEO DIESEL ,m3,103352.36,2022-03-17
2000-1,MS,ÓLEO DIESEL ,m3,60078.23,2022-03-17
2000-1,RS,ÓLEO DIESEL ,m3,191977.1,2022-03-17
2000-1,SC,ÓLEO DIESEL ,m3,112032.47,2022-03-17
2000-1,PR,ÓLEO DIESEL ,m3,201503.13,2022-03-17
