COMBUSTÍVEL,ANO,REGIÃO,ESTADO,UNIDADE,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,TOTAL
ÓLEO DIESEL S-10 (m3),2013,REGIÃO NORTE,RONDÔNIA,m3,3517.6,3681.7,4700.67,5339.2,6166.4,6539.65,7283.7,8082.85,7902.55,9383.15,9767.4,9088.8,81453.67
ÓLEO DIESEL S-10 (m3),2013,REGIÃO NORTE,ACRE,m3,363,410,536,607,740,756,971,1174,1240,1439,1483,1483,11202
ÓLEO DIESEL S-10 (m3),2013,REGIÃO NORTE,AMAZONAS,m3,3190.585,3305,3391,3637,4250,4576,5756.879,6228.636,6334,7154.2,6836.3,6784.232,61443.832
ÓLEO DIESEL S-10 (m3),2013,REGIÃO NORTE,RORAIMA,m3,795.4,757.2,939.8,1040.6,966,992.9,1027,1083.8,1311.2,1475.3,1502.7,1531.8,13423.7
ÓLEO DIESEL S-10 (m3),2013,REGIÃO NORTE,PARÁ,m3,30137.8,28146.3,31280.5,33033.05,33519.88,34321.53,37168.16,41248.336,40913.48,45383.5,44013.219,41975.03,441140.785
ÓLEO DIESEL S-10 (m3),2013,REGIÃO NORTE,AMAPÁ,m3,252.5,223,348,456.5,420,507.5,488.5,683.948,748,785,891,757.5,6561.448
ÓLEO DIESEL S-10 (m3),2013,REGIÃO NORTE,TOCANTINS,m3,6365,6800.9,8866.4,9866.334,10062.5,10839.5,11771.7,13840.95,13649.2,16054.1,15571.4,14754.1,138442.084
ÓLEO DIESEL S-10 (m3),2013,REGIÃO NORDESTE,MARANHÃO,m3,8896.45,8362.806,9988,11424.5,12254,12974,15360.307,16496,16496.8,19823,19972,20304,172351.863
ÓLEO DIESEL S-10 (m3),2013,REGIÃO NORDESTE,PIAUÍ,m3,4048,3317.5,4626.5,5431.8,6373.25,6632.1,7815.1,8265.4,8511.1,9648.9,9717.75,9923.1,84310.5
ÓLEO DIESEL S-10 (m3),2013,REGIÃO NORDESTE,CEARÁ,m3,56758.646,47727.5,46672.338,47724.922,50888.425,47884.145,52901.601,51586.778,54451.938,56798.731,55128.903,54911.445,623435.372
ÓLEO DIESEL S-10 (m3),2013,REGIÃO NORDESTE,RIO GRANDE DO NORTE,m3,2722,2572,3025.55,3346,3513,3486.5,4413,4656,4941.143,5583,6008.5,6101,50367.693
ÓLEO DIESEL S-10 (m3),2013,REGIÃO NORDESTE,PARAÍBA,m3,2401.5,2964.5,3090,3641.5,4308,3961.5,5212.49,5931,6035.96,6856.99,7049.5,7267.97,58720.91
ÓLEO DIESEL S-10 (m3),2013,REGIÃO NORDESTE,PERNAMBUCO,m3,94832.55,69172.759,76060.5,73727.45,57373.929,49852.099,56364.687,58276.961,58177.23,66354.85,66082.208,64451.12,790726.343
ÓLEO DIESEL S-10 (m3),2013,REGIÃO NORDESTE,ALAGOAS,m3,4078,3535.5,4124,3771,4072.003,4019,4852.5,5242,5214.57,6391.064,6769,6733,58801.637
ÓLEO DIESEL S-10 (m3),2013,REGIÃO NORDESTE,SERGIPE,m3,4191.5,3978.6,4921.6,5369.1,5637.4,5523.9,5940,6896.603,7466.738,8139.3,8811,9882.4,76758.141
ÓLEO DIESEL S-10 (m3),2013,REGIÃO NORDESTE,BAHIA,m3,25274.123,24716.294,32029.998,35929.155,37845.172,38125.774,43987.387,48891.535,48378.952,54640.601,55057.999,52917.869,497794.859
ÓLEO DIESEL S-10 (m3),2013,REGIÃO SUDESTE,MINAS GERAIS,m3,46251.409,45857.426,55960.055,62454.572,70907.448,72272.267,84285.258,92049.299,93379.884,102297.806,99560.431,92958.034,918233.889
ÓLEO DIESEL S-10 (m3),2013,REGIÃO SUDESTE,ESPÍRITO SANTO,m3,7078,7099,7716,8872,9540,10275,11747.881,13184,13020,15320,14655.5,13948,132455.381
ÓLEO DIESEL S-10 (m3),2013,REGIÃO SUDESTE,RIO DE JANEIRO,m3,71139.001,65754.274,74594.983,78911.329,82835.67,83487.671,86953.5,92614.39,90431.974,98278.895,94202.785,94732.917,1013937.389
ÓLEO DIESEL S-10 (m3),2013,REGIÃO SUDESTE,SÃO PAULO,m3,151757.57,153253.221,185821.01,207449.331,222614.972,217736.003,235476.41,266501.288,262685.886,285876.211,271734.768,255230.24,2716136.91
ÓLEO DIESEL S-10 (m3),2013,REGIÃO SUL,PARANÁ,m3,37690.948,37994.903,46695.023,51823.455,54918.57,54564.884,66333.999,75553.272,74408.3,80944.238,81377.296,75595.409,737900.297
ÓLEO DIESEL S-10 (m3),2013,REGIÃO SUL,SANTA CATARINA,m3,23309,23796.23,26607.301,30435.327,31415.778,31558.52,37687.368,38837.559,40840.832,45511.944,44901.98,41029.008,415930.847
ÓLEO DIESEL S-10 (m3),2013,REGIÃO SUL,RIO GRANDE DO SUL,m3,26753.386,25945.25,31227.61,36805.532,36933.427,36728.557,41022.488,43500.585,43583.61,49657.07,48121.41,46018.53,466297.455
ÓLEO DIESEL S-10 (m3),2013,REGIÃO CENTRO-OESTE,MATO GROSSO DO SUL,m3,8782.7,10226.1,10515.1,11226.35,14096.1,14618.694,18952.25,20202.2,20640.4,21777.801,19831.98,18554.511,189424.186
ÓLEO DIESEL S-10 (m3),2013,REGIÃO CENTRO-OESTE,MATO GROSSO,m3,14014.786,15429.153,18400.951,19176.119,21404.859,24907.946,28772.752,30427.362,32679.356,35346.179,33826.401,28944.557,303330.421
ÓLEO DIESEL S-10 (m3),2013,REGIÃO CENTRO-OESTE,GOIÁS,m3,14061.55,16828.718,19104.88,20828.42,24186.98,25314.812,32093.12,33243.87,34001.26,38346.63,35579.127,31832.26,325421.627
ÓLEO DIESEL S-10 (m3),2013,REGIÃO CENTRO-OESTE,DISTRITO FEDERAL,m3,2976.5,3183.5,3965.5,4298,4608.5,4584.5,5428.8,6098.1,6684,7867.2,7946,8372.13,66012.73
ÓLEO DIESEL S-500 (m3),2013,REGIÃO NORTE,RONDÔNIA,m3,263,290,170,205,203,0,0,0,0,0,0,0,1131
ÓLEO DIESEL S-500 (m3),2013,REGIÃO NORTE,ACRE,m3,0,0,0,0,0,0,0,0,0,0,0,0,0
ÓLEO DIESEL S-500 (m3),2013,REGIÃO NORTE,AMAZONAS,m3,146,126,151,221,179,225,340,423,369,541,512,527,3760
ÓLEO DIESEL S-500 (m3),2013,REGIÃO NORTE,RORAIMA,m3,0,0,0,0,15,0,0,0,0,40,10,10,75
ÓLEO DIESEL S-500 (m3),2013,REGIÃO NORTE,PARÁ,m3,538,409,573,598,606,471,2058,2056,2142,2309,2260,2284.5,16304.5
ÓLEO DIESEL S-500 (m3),2013,REGIÃO NORTE,AMAPÁ,m3,0,0,0,0,0,0,0,0,0,0,0,0,0
