COMBUSTÍVEL,ANO,REGIÃO,ESTADO,UNIDADE,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,TOTAL
QUEROSENE ILUMINANTE (m3),2000,REGIÃO NORDESTE,PIAUÍ,m3,210,215,180,195,165,220,343.634,198.414,141.66,114.428,229.095,102.25,2314.481
QUEROSENE ILUMINANTE (m3),2000,REGIÃO NORDESTE,MARANHÃO,m3,652.9,558.1,447.95,471.2,573,456.55,523.15,535.1,361.1,577.2,609.1,462.9,6228.25
QUEROSENE ILUMINANTE (m3),2000,REGIÃO NORTE,TOCANTINS,m3,0,0,0,0,0,0,0,0,0,0,0,0,0
QUEROSENE ILUMINANTE (m3),2000,REGIÃO NORTE,AMAPÁ,m3,0,0,0,0,0,0,0,0,0,0,0,0,0
QUEROSENE ILUMINANTE (m3),2000,REGIÃO NORTE,PARÁ,m3,319.15,283.2,274.25,272.1,305.25,312.05,251.35,257.3,295.25,248.1,267.2,218.25,3303.45
QUEROSENE ILUMINANTE (m3),2000,REGIÃO NORTE,RORAIMA,m3,0,0,0,0,0,0,0,0,0,0,0,0,0
QUEROSENE ILUMINANTE (m3),2000,REGIÃO NORTE,AMAZONAS,m3,281.2,272.6,227,333,291,366.8,246,366,228,306,351,216.2,3484.8
QUEROSENE ILUMINANTE (m3),2000,REGIÃO NORTE,ACRE,m3,0,0,0,0,0,0,0,0,0,0,0,0,0
QUEROSENE ILUMINANTE (m3),2000,REGIÃO NORTE,RONDÔNIA,m3,5395.39,5085.359,10,0,0,10,10,0,10,35,0,0,10555.749
GASOLINA DE AVIAÇÃO (m3),2000,REGIÃO CENTRO-OESTE,DISTRITO FEDERAL,m3,73.574,61.386,58.089,76.416,48.774,85.009,90.801,58.311,65.766,68.719,46.826,43.614,777.285
GASOLINA DE AVIAÇÃO (m3),2000,REGIÃO CENTRO-OESTE,GOIÁS,m3,380.498,355.078,298.273,203.755,78.842,99.693,244.784,136.929,77.719,188.092,117.225,178.692,2359.58
GASOLINA DE AVIAÇÃO (m3),2000,REGIÃO CENTRO-OESTE,MATO GROSSO,m3,1463.304,1694.43,1215.854,1004.023,621.96,833.415,452.569,555.816,302.194,619.166,936.235,734.449,10433.415
GASOLINA DE AVIAÇÃO (m3),2000,REGIÃO CENTRO-OESTE,MATO GROSSO DO SUL,m3,199.916,353.374,202.298,166.564,179.061,155.718,346.213,185.354,95.93,396.673,334.623,341.899,2957.623
GASOLINA DE AVIAÇÃO (m3),2000,REGIÃO SUL,RIO GRANDE DO SUL,m3,1132.578,602.021,415.326,217.363,116.289,85.703,346.652,288.74,552.632,606.709,783.79,1493.711,6641.514
GASOLINA DE AVIAÇÃO (m3),2000,REGIÃO SUL,SANTA CATARINA,m3,103.498,101.432,91.055,87.443,85.805,83.533,53.462,68.226,86.642,44.661,87.383,67.78,960.92
GASOLINA DE AVIAÇÃO (m3),2000,REGIÃO SUL,PARANÁ,m3,304.987,290.994,151.56,212.225,225.867,239.31,176.124,192.585,108.768,249.958,128.25,122.548,2403.176
GASOLINA DE AVIAÇÃO (m3),2000,REGIÃO SUDESTE,SÃO PAULO,m3,2074.411,2527.019,2112.26,2198.573,2150.098,2092.08,2005.372,2045.808,1727.544,2041.431,2675.419,2269.762,25919.777
GASOLINA DE AVIAÇÃO (m3),2000,REGIÃO SUDESTE,RIO DE JANEIRO,m3,105.22,170.062,83.909,154.838,140.168,119,108.441,107.689,166.016,107.482,90.548,153.153,1506.526
GASOLINA DE AVIAÇÃO (m3),2000,REGIÃO SUDESTE,ESPÍRITO SANTO,m3,4.954,1.781,4.839,5.075,1.922,5.269,2.729,1.742,2.583,6.194,4.001,7.922,49.011
GASOLINA DE AVIAÇÃO (m3),2000,REGIÃO SUDESTE,MINAS GERAIS,m3,211.548,219.366,194.772,244.25,226.396,269.776,184.961,231.146,261.933,226.817,162.553,228.353,2661.871
GASOLINA DE AVIAÇÃO (m3),2000,REGIÃO NORDESTE,BAHIA,m3,169.46,130.41,111.569,154.402,123.555,57.837,140.701,38.839,52.276,133.677,135.871,124.845,1373.442
GASOLINA DE AVIAÇÃO (m3),2000,REGIÃO NORDESTE,SERGIPE,m3,20,11.505,20.172,10,10.451,31.999,30.128,10,10.398,10,0.748,0,165.401
GASOLINA DE AVIAÇÃO (m3),2000,REGIÃO NORDESTE,ALAGOAS,m3,15,0,0,16,0,16.944,0.559,21,16.252,15.943,7.119,0.972,109.789
GASOLINA DE AVIAÇÃO (m3),2000,REGIÃO NORDESTE,PERNAMBUCO,m3,375.815,282.924,264.166,408.932,298.586,407.863,393.963,306.544,327.435,321.889,341.761,271.895,4001.773
GASOLINA DE AVIAÇÃO (m3),2000,REGIÃO NORDESTE,PARAÍBA,m3,1.459,0,0,0,0,0,0,0,0,0,15,0.218,16.677
GASOLINA DE AVIAÇÃO (m3),2000,REGIÃO NORDESTE,RIO GRANDE DO NORTE,m3,49.431,69.455,7.598,37.083,66.64,46.499,37.154,37.01,34.79,20.081,36.497,78.791,521.029
GASOLINA DE AVIAÇÃO (m3),2000,REGIÃO NORDESTE,CEARÁ,m3,47.535,19.578,50.027,37.734,51.061,20.417,49.842,19.321,70.947,73.455,76.909,45.885,562.711
GASOLINA DE AVIAÇÃO (m3),2000,REGIÃO NORDESTE,PIAUÍ,m3,46,86.95,59.57,43.655,61.62,85.482,86.295,66.122,87.157,84.861,69.989,66.973,844.674
GASOLINA DE AVIAÇÃO (m3),2000,REGIÃO NORDESTE,MARANHÃO,m3,57.555,41.852,40.23,29.063,42.029,80.306,76.211,59.228,58.807,77.006,58.791,59.991,681.069
